"AnswerId","JobName","Worker","Status","WorkDurationInSeconds","TaskReservedTime","TaskStartedTime","AnswerSubmittedTime","AnswerAcceptedTime","AnswerRejectedTime","ScheduledAutoApprovalTime","ScheduledAutoRejectionTime","Answer.1:fileId","Answer.2:selections","Answer.3:selections","Answer.4:selections","Answer.5:freetext"
"4040E4B5F18C8CC","Sympathie_2016-11-02T12:28:51.716Z","F1EBFFE603","AUTOMATICALLY_ACCEPTED","141","2016.12.02 13:13:09 +0000","2016.12.02 13:13:12 +0000","2016.12.02 13:15:33 +0000","2016.12.02 13:15:33 +0000","","2016.12.02 13:15:33 +0000","2016.12.02 13:15:33 +0000","FILE_ID_MISSING","1","4","1","52"
"356ACDF34F0FE94","Sympathie_2016-11-02T12:28:51.716Z","8B15671648","AUTOMATICALLY_ACCEPTED","178","2016.12.02 13:25:28 +0000","2016.12.02 13:25:28 +0000","2016.12.02 13:28:27 +0000","2016.12.02 13:28:27 +0000","","2016.12.02 13:28:27 +0000","2016.12.02 13:28:27 +0000","https://api.crowdee.de/v1/files/b9f63b2fe5090b085ba453a8f78fba16","1","4","0","21"
"9E2DAA97C375637","Sympathie_2016-11-02T12:28:51.716Z","6423534176","AUTOMATICALLY_ACCEPTED","164","2016.12.02 15:56:00 +0000","2016.12.02 15:56:01 +0000","2016.12.02 15:58:45 +0000","2016.12.02 15:58:45 +0000","","2016.12.02 15:58:45 +0000","2016.12.02 15:58:45 +0000","https://api.crowdee.de/v1/files/476e74acceb87c0e872d8f6361bc671b","1","4","0","23"
"26426D21D27E84B","Sympathie_2016-11-02T12:28:51.716Z","121E9B4753","AUTOMATICALLY_ACCEPTED","87","2016.12.02 16:57:51 +0000","2016.12.02 16:57:51 +0000","2016.12.02 16:59:19 +0000","2016.12.02 16:59:19 +0000","","2016.12.02 16:59:19 +0000","2016.12.02 16:59:19 +0000","https://api.crowdee.de/v1/files/528cbb0e95a5970653339d397ef68ad9","1","4","0","20"
"DD64CD0BF02134F","Sympathie_2016-11-02T12:28:51.716Z","C198EC4D2E","AUTOMATICALLY_ACCEPTED","89","2016.12.02 17:31:34 +0000","2016.12.02 17:31:35 +0000","2016.12.02 17:33:04 +0000","2016.12.02 17:33:04 +0000","","2016.12.02 17:33:04 +0000","2016.12.02 17:33:04 +0000","https://api.crowdee.de/v1/files/e2552b519f4655b6ad91d8b912cc989c","1","4","1","30"
"64E827D43A21598","Sympathie_2016-11-02T12:28:51.716Z","53C254972D","AUTOMATICALLY_ACCEPTED","149","2016.12.02 19:18:54 +0000","2016.12.02 19:18:54 +0000","2016.12.02 19:21:23 +0000","2016.12.02 19:21:23 +0000","","2016.12.02 19:21:23 +0000","2016.12.02 19:21:23 +0000","https://api.crowdee.de/v1/files/960fe31bedef6ae70bcf0b8bcb93aba6","1","4","1","18"
"F1C6647145B56D6","Sympathie_2016-11-02T12:28:51.716Z","C7488B9FA7","AUTOMATICALLY_ACCEPTED","107","2016.12.03 09:26:48 +0000","2016.12.03 09:26:48 +0000","2016.12.03 09:28:36 +0000","2016.12.03 09:28:36 +0000","","2016.12.03 09:28:36 +0000","2016.12.03 09:28:36 +0000","https://api.crowdee.de/v1/files/d01a2c79fe556423579bc847d1f3e8f0","1","4","0","54"
"DC572D85801A5B6","Sympathie_2016-11-02T12:28:51.716Z","CEC99801AA","AUTOMATICALLY_ACCEPTED","100","2016.12.03 12:54:53 +0000","2016.12.03 12:54:53 +0000","2016.12.03 12:56:33 +0000","2016.12.03 12:56:33 +0000","","2016.12.03 12:56:33 +0000","2016.12.03 12:56:33 +0000","https://api.crowdee.de/v1/files/e346d0663b881551f34adda867644a9e","1","4","1","24"
"852758D4CABDD18","Sympathie_2016-11-02T12:28:51.716Z","2C45FC1B83","AUTOMATICALLY_ACCEPTED","77","2016.12.03 19:08:00 +0000","2016.12.03 19:08:00 +0000","2016.12.03 19:09:17 +0000","2016.12.03 19:09:17 +0000","","2016.12.03 19:09:17 +0000","2016.12.03 19:09:17 +0000","https://api.crowdee.de/v1/files/af05c8a9f9cbcb2ab860dd4180746ef6","1","4","1","29"
"039E361C8A76FDB","Sympathie_2016-11-02T12:28:51.716Z","366C007B14","AUTOMATICALLY_ACCEPTED","86","2016.12.03 21:05:16 +0000","2016.12.03 21:05:17 +0000","2016.12.03 21:06:43 +0000","2016.12.03 21:06:44 +0000","","2016.12.03 21:06:43 +0000","2016.12.03 21:06:43 +0000","https://api.crowdee.de/v1/files/6fd75b5375d544e57e834c1e94e699b8","1","4","1","37"
"A2E7B4BD96E25CE","Sympathie_2016-11-02T12:28:51.716Z","1379FC1D5B","AUTOMATICALLY_ACCEPTED","100","2016.12.05 21:22:33 +0000","2016.12.05 21:22:33 +0000","2016.12.05 21:24:14 +0000","2016.12.05 21:24:14 +0000","","2016.12.05 21:24:14 +0000","2016.12.05 21:24:14 +0000","https://api.crowdee.de/v1/files/e0aced1ea4f9bb481dd81cb1bd27e267","1","4","0","20"
