"AnswerId","JobName","Worker","Status","WorkDurationInSeconds","TaskReservedTime","TaskStartedTime","AnswerSubmittedTime","AnswerAcceptedTime","AnswerRejectedTime","ScheduledAutoApprovalTime","ScheduledAutoRejectionTime","Answer.1:fileId","Answer.2:selections","Answer.3:selections","Answer.4:selections","Answer.4:freetext","Answer.5:selections","Answer.5:freetext","Answer.6:selections","Answer.6:freetext","Answer.7:freetext"
"C438B7B8D829859","Sympathie_2016-07-20T09:32:23.991Z","C0CD5FC745","AUTOMATICALLY_ACCEPTED","73","2016.08.30 13:24:41 +0000","2016.08.30 13:24:41 +0000","2016.08.30 13:25:55 +0000","2016.08.30 13:25:55 +0000","","2016.08.30 13:25:55 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/286ba414c85ee195e601c8c6820e5a01","0","0","4,1,2","E-Bass  Klarinette","2","","1,2","","22"
"DCC4D5F247414CF","Sympathie_2016-07-20T09:32:23.991Z","8DF73C031C","AUTOMATICALLY_ACCEPTED","80","2016.08.30 13:47:42 +0000","2016.08.30 13:47:43 +0000","2016.08.30 13:49:03 +0000","2016.08.30 13:49:04 +0000","","2016.08.30 13:49:03 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/16f7bf96bd32a88661439a64b74ff16a","4","0","8,1,7,2","","1,2","","0","Laienchor","35"
"408917F09A7A0E0","Sympathie_2016-07-20T09:32:23.991Z","E50DE85FCE","AUTOMATICALLY_ACCEPTED","70","2016.08.30 14:56:13 +0000","2016.08.30 14:56:14 +0000","2016.08.30 14:57:24 +0000","2016.08.30 14:57:25 +0000","","2016.08.30 14:57:24 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/7091027152a58eed042382fcacb36a24","4","0","8,1","","4","","6","","39"
"31178A3BAAAAA80","Sympathie_2016-07-20T09:32:23.991Z","54AD577019","AUTOMATICALLY_ACCEPTED","78","2016.08.30 15:29:10 +0000","2016.08.30 15:29:10 +0000","2016.08.30 15:30:29 +0000","2016.08.30 15:30:29 +0000","","2016.08.30 15:30:29 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/f65f14e1be8379288a3f39fe3f9a12b5","4","0","9","","4","","6","","23"
"6C3A2A2801F3589","Sympathie_2016-07-20T09:32:23.991Z","9580552B28","AUTOMATICALLY_ACCEPTED","131","2016.08.30 16:38:51 +0000","2016.08.30 16:38:52 +0000","2016.08.30 16:41:04 +0000","2016.08.30 16:41:04 +0000","","2016.08.30 16:41:04 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/b8bc537671a6bdb21fe19bb87a9608ad","4","0","9","","4","","6","","18"
"A7FB1A7481C1904","Sympathie_2016-07-20T09:32:23.991Z","482317BD6E","AUTOMATICALLY_ACCEPTED","132","2016.08.30 17:29:00 +0000","2016.08.30 17:29:01 +0000","2016.08.30 17:31:13 +0000","2016.08.30 17:31:13 +0000","","2016.08.30 17:31:13 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/24164d4fd5780947c525b3011a0e8243","4","0","9","","4","","6","","25"
"FD4356CD2022CEC","Sympathie_2016-07-20T09:32:23.991Z","841072C88A","AUTOMATICALLY_ACCEPTED","62","2016.08.30 18:10:14 +0000","2016.08.30 18:10:14 +0000","2016.08.30 18:11:17 +0000","2016.08.30 18:11:17 +0000","","2016.08.30 18:11:17 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/2e4da2304eef5b4d7d1b736816a4732e","4","0","9","","4","","6","","25"
"316E15155940832","Sympathie_2016-07-20T09:32:23.991Z","70713D7B25","AUTOMATICALLY_ACCEPTED","164","2016.08.30 20:18:17 +0000","2016.08.30 20:18:18 +0000","2016.08.30 20:21:03 +0000","2016.08.30 20:21:03 +0000","","2016.08.30 20:21:03 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/21266ae7f4fc0c90aa4eefca40ba42af","4","0","9","","4","","6","","27"
"25DF1C4497199AF","Sympathie_2016-07-20T09:32:23.991Z","482317BD6E","AUTOMATICALLY_ACCEPTED","83","2016.08.30 21:55:15 +0000","2016.08.30 21:55:16 +0000","2016.08.30 21:56:40 +0000","2016.08.30 21:56:40 +0000","","2016.08.30 21:56:40 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/7f881bfa06cf1e9fa468bfe4de42e1b2","4","0","9","","4","","6","","25"
"814A07207114ED9","Sympathie_2016-07-20T09:32:23.991Z","841072C88A","AUTOMATICALLY_ACCEPTED","86","2016.08.31 06:30:47 +0000","2016.08.31 06:30:48 +0000","2016.08.31 06:32:14 +0000","2016.08.31 06:32:14 +0000","","2016.08.31 06:32:14 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/5dcd284010ab7a0c05f68859a9a50309","4","0","9","","4","","6","","25"
"F10523BCAFE107B","Sympathie_2016-07-20T09:32:23.991Z","CD9BEE25D5","AUTOMATICALLY_ACCEPTED","113","2016.08.31 06:54:47 +0000","2016.08.31 06:54:50 +0000","2016.08.31 06:56:43 +0000","2016.08.31 06:56:43 +0000","","2016.08.31 06:56:43 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/3be43e94a6fc8134cc3e034e4d3e9f7d","4","0","9","","4","","6","","31"
"4B08AA957DC6915","Sympathie_2016-07-20T09:32:23.991Z","39ABEDDDC5","AUTOMATICALLY_ACCEPTED","184","2016.08.31 07:38:02 +0000","2016.08.31 07:38:03 +0000","2016.08.31 07:41:07 +0000","2016.08.31 07:41:07 +0000","","2016.08.31 07:41:07 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/5586b295729838e510477c959f1e5631","4","0","0,8,1","","1","","0,1","","19"
"6C6570B956E73D7","Sympathie_2016-07-20T09:32:23.991Z","841072C88A","AUTOMATICALLY_ACCEPTED","54","2016.08.31 08:05:18 +0000","2016.08.31 08:05:19 +0000","2016.08.31 08:06:13 +0000","2016.08.31 08:06:13 +0000","","2016.08.31 08:06:13 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/dcf4a718683c47ebf387b59bad0f4c36","4","0","5","","4","","6","","29"
"ECEA8A16AA77A4F","Sympathie_2016-07-20T09:32:23.991Z","482317BD6E","AUTOMATICALLY_ACCEPTED","110","2016.08.31 08:34:18 +0000","2016.08.31 08:34:20 +0000","2016.08.31 08:36:10 +0000","2016.08.31 08:36:11 +0000","","2016.08.31 08:36:10 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/ce4db418963b1d45640f1b0b2f865d6c","4","0","9","","4","","6","","25"
"94B7F0CB09F292A","Sympathie_2016-07-20T09:32:23.991Z","A9C504B411","AUTOMATICALLY_ACCEPTED","165","2016.08.31 09:12:17 +0000","2016.08.31 09:12:17 +0000","2016.08.31 09:15:03 +0000","2016.08.31 09:15:03 +0000","","2016.08.31 09:15:03 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/a52e1d8f39266b5c26ed080174bdd055","4","0","9","","4","","6","","19"
"5E0A003E57356EF","Sympathie_2016-07-20T09:32:23.991Z","29A9BE5677","AUTOMATICALLY_ACCEPTED","136","2016.08.31 09:28:50 +0000","2016.08.31 09:28:50 +0000","2016.08.31 09:31:07 +0000","2016.08.31 09:31:07 +0000","","2016.08.31 09:31:07 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/cb65caf61f1113ebe076881a0ad2d0b9","4","0","2","","2","","0","","39"
"31C2649C30DB635","Sympathie_2016-07-20T09:32:23.991Z","BDE5333A8A","AUTOMATICALLY_ACCEPTED","114","2016.08.31 09:49:17 +0000","2016.08.31 09:49:18 +0000","2016.08.31 09:51:12 +0000","2016.08.31 09:51:13 +0000","","2016.08.31 09:51:12 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/ff055eb2bb559dcf62baebb5ea6e843f","4","0","5,8","","4","","0","","25"
"BBC3EE5BAA4C2B1","Sympathie_2016-07-20T09:32:23.991Z","CD9BEE25D5","AUTOMATICALLY_ACCEPTED","90","2016.08.31 13:47:02 +0000","2016.08.31 13:47:02 +0000","2016.08.31 13:48:33 +0000","2016.08.31 13:48:33 +0000","","2016.08.31 13:48:33 +0000","1970.01.01 00:00:00 +0000","https://api.crowdee.de/v1/files/14601a9feeae83384cb3427531a8336c","4","0","9","","4","","6","","31"
