"data_m.listener_pseudonym","data_m.sample_heard","dim1","dim2","dim3","dim4"
"Rater115","m061_alrayyan_stimulus.wav",-2.94998790201986,-3.63875525881074,2.15912882793403,-1.43538534174281
"Rater115","m263_andorralavella_stimulus.wav",-1.74465105324123,2.35387688604826,-1.98351171577396,1.19508346069835
"Rater115","m171_barentsburg_stimulus.wav",1.65091370951444,-0.663717367377573,-2.27437184736023,-2.25043920497387
"Rater115","m097_basseterre_stimulus.wav",-4.44196243713821,-2.64835797227384,1.53184731878429,-0.281622492815804
"Rater115","m041_bucharest_stimulus.wav",-4.4918324094917,-3.25137009337544,2.43410317888673,-1.55251355695396
"Rater115","m088_cayenne_stimulus.wav",2.22129047588136,-2.2121245254319,-1.76942013493948,-1.86720258493602
"Rater115","m096_helsinki_stimulus.wav",4.89901234881761,3.82518534761414,0.0913528984743487,3.01886763401121
"Rater115","m071_jamestown_stimulus.wav",-2.94617944285236,2.38764536642487,1.45197996276583,1.9429408461018
"Rater115","m271_portmoresby_stimulus.wav",4.30350644250506,3.90301655587412,0.347468467168756,2.26917899303489
"Rater115","m280_skopje_stimulus.wav",3.49989026802487,-0.0553989386918917,-1.98857695594032,-1.03890775242379
"Rater116","m061_alrayyan_stimulus.wav",-0.646701214677467,3.17587846863529,1.78772591887493,1.49935435716596
"Rater116","m263_andorralavella_stimulus.wav",0.739778701412383,-0.319943238106071,-1.8946727105981,-1.23999236306783
"Rater116","m171_barentsburg_stimulus.wav",4.13214783827155,2.2063300918553,-1.99570364067878,-2.24195129142575
"Rater116","m097_basseterre_stimulus.wav",-5.99939937849692,-2.78427865728254,2.19570287738666,2.25572972726071
"Rater116","m041_bucharest_stimulus.wav",-4.06245307997312,-2.42145938341178,0.878955830348984,-0.748235425565262
"Rater116","m088_cayenne_stimulus.wav",2.14975506575764,1.66017210610039,1.26401569243077,-0.847932999259258
"Rater116","m096_helsinki_stimulus.wav",5.05346892744579,1.0241166765793,-2.06121599417221,-2.13662428478178
"Rater116","m071_jamestown_stimulus.wav",0.523143348295864,-0.0449527997287507,1.01626215335482,0.691616399731496
"Rater116","m271_portmoresby_stimulus.wav",1.04916797652706,-1.5983187363554,-1.86554802159546,1.47526283486559
"Rater116","m280_skopje_stimulus.wav",-2.93890818456278,-0.897544528285733,0.674477894648408,1.29277304507612
"Rater117","m061_alrayyan_stimulus.wav",-4.5293496212659,-3.20871972359563,-0.963193033277361,-2.07869552450905
"Rater117","m263_andorralavella_stimulus.wav",1.40186216233154,2.27082061249746,-1.7105203415105,-0.924251476793763
"Rater117","m171_barentsburg_stimulus.wav",-2.0902304541459,-3.47149264893378,-1.09758555809679,-2.12204764863132
"Rater117","m097_basseterre_stimulus.wav",-1.76618321873058,-0.586668868323756,1.49638153001591,2.06131876394203
"Rater117","m041_bucharest_stimulus.wav",0.602574372818795,3.53069553432719,1.57812098160492,2.24711581336118
"Rater117","m088_cayenne_stimulus.wav",7.69723173438893,-0.163349790343252,-2.33844566315135,-1.26124742721097
"Rater117","m096_helsinki_stimulus.wav",0.571920581272694,-1.93555182991445,0.454943946235011,-0.65265953581467
"Rater117","m071_jamestown_stimulus.wav",-2.68669209772912,2.33248684139986,2.49053480440169,-0.0320538665155968
"Rater117","m271_portmoresby_stimulus.wav",3.14514496247423,3.44660808564736,0.355117465095236,3.57372173611521
"Rater117","m280_skopje_stimulus.wav",-2.34627842141468,-2.214828212761,-0.265354131316763,-0.811200833943045
"Rater118","m061_alrayyan_stimulus.wav",-3.31942394074733,3.10407134799213,-1.53334497427206,-1.3907939590356
"Rater118","m263_andorralavella_stimulus.wav",-2.76426070645711,-2.33794865877711,1.84802371084796,1.9977529577052
"Rater118","m171_barentsburg_stimulus.wav",4.00849518351227,-2.91847473213367,-2.39363125189999,-2.35348243983366
"Rater118","m097_basseterre_stimulus.wav",-0.459878745003165,3.4479323070459,1.98565704803665,2.4931750566252
"Rater118","m041_bucharest_stimulus.wav",-1.92623612083354,1.20464496267946,1.20014626569922,1.76819379323312
"Rater118","m088_cayenne_stimulus.wav",5.46933302681327,-2.64651643509435,-2.38775503251928,-2.43624085338522
"Rater118","m096_helsinki_stimulus.wav",-4.24221548405433,0.121424668627323,-1.33093956517173,-1.9539595507634
"Rater118","m071_jamestown_stimulus.wav",-3.04097182969385,-0.513108370262402,1.75447395591102,2.13730420048275
"Rater118","m271_portmoresby_stimulus.wav",2.86498556806439,1.4207489691831,2.01981259941198,1.46432530570852
"Rater118","m280_skopje_stimulus.wav",3.4101730483994,-0.882774059260379,-1.16244275604377,-1.72627451073691
"Rater119","m061_alrayyan_stimulus.wav",-2.8412116901606,-2.10245336267848,1.60615865570104,-2.56249756529504
"Rater119","m263_andorralavella_stimulus.wav",-0.672445816906393,0.37817237191274,0.533276031931136,-1.08845781887409
"Rater119","m171_barentsburg_stimulus.wav",3.86935397985467,-3.62754667377537,-2.32321704600015,-2.12738785351539
"Rater119","m097_basseterre_stimulus.wav",-3.63115635671554,2.38989743013868,0.493129273091821,2.18901247250502
"Rater119","m041_bucharest_stimulus.wav",-4.15181210630987,1.1545305671091,1.82242713893812,0.905448913538498
"Rater119","m088_cayenne_stimulus.wav",3.17309284421526,-4.51044220070735,-2.6342724166893,-3.07691004970374
"Rater119","m096_helsinki_stimulus.wav",5.82668429103625,-1.98668269090241,1.7833131469065,0.175139462462817
"Rater119","m071_jamestown_stimulus.wav",-0.531004090642337,1.99158580854213,0.153838977993948,1.89963925069041
