"sample_heard","dim1","dim2","dim3","dim4","dim5"
"w001_lelydorp_stimulus.wav",2.29964744151205,0.654349487313478,0.0233296224542706,0.589981654234081,0.17901067668961
"w002_moundou_stimulus.wav",-2.32310891180504,-0.935824885281316,-0.506265418740852,0.318894760528216,0.620382635468617
"w003_hangaroa_stimulus.wav",1.19088350145327,-0.190121927360786,-0.909829043923098,1.39456144860788,2.23927639898865
"w008_dakar_stimulus.wav",5.34742276303931,2.64608611408047,0.258587546163623,0.940732533964769,-0.230511815550934
"w009_durres_stimulus.wav",0.415157484551848,0.394233334727235,0.506361357036166,-0.747865667548503,-0.268149044871086
"w010_medellin_stimulus.wav",-1.14991099119614,-1.45671783919055,0.0866152314343106,-0.245662278256642,0.0361361433261023
"w011_jerusalem_stimulus.wav",1.62141867046253,0.690386455615125,1.12497984408812,-2.01015460762348,-1.28329755669844
"w012_ngerulmud_stimulus.wav",1.02984392122773,0.224028584659039,-0.100824927620953,0.16223693296596,-1.18538066841904
"w013_freetown_stimulus.wav",-0.996150511951013,0.468413876457767,0.0281933008020576,-0.410351134957414,0.00229238720667794
"w014_lilongwe_stimulus.wav",-0.517363362525829,-0.0980161115548799,-0.114295919958639,0.861289852080261,1.61367388484073
"w015_francistown_stimulus.wav",-0.246706824701128,0.148087812651716,0.491102706964728,-0.737364310385697,-0.68987455562077
"w017_brazzaville_stimulus.wav",1.38308580082675,1.16482468132455,0.171622072672501,0.366637570662554,-0.226855590932264
"w026_charlestown_stimulus.wav",-0.758561043414145,0.148019620394793,-0.409734479318719,-0.254634423109782,0.173615926710749
"w027_riffa_stimulus.wav",0.453326105950284,0.803658865655458,0.118333803443801,0.554914526759149,0.0172120345452041
"w029_speightstown_stimulus.wav",0.321310555353627,-0.127724391377869,0.90191143448967,-1.04121555860048,-0.397290929160139
"w031_tartu_stimulus.wav",-1.03107296649349,-1.57214824800959,-1.19111756955142,0.387085184169385,0.691791397120714
"w032_cordoba_stimulus.wav",-1.69434496383855,-0.722146929127084,-0.162802100704089,-0.361526576872828,1.85316236828938
"w034_burntpine_stimulus.wav",-4.06509079296256,-1.41708268804291,-0.777607937272969,0.725179075086907,0.453585707769428
"w035_flyingfishcove_stimulus.wav",0.459230104919128,1.16579619897587,-0.0540253755453709,1.05151912473157,0.427851867546863
"w038_alele_stimulus.wav",3.6240595120098,0.961757887430222,1.31409126098678,-1.09330991059189,-1.81364768555046
"w039_bangui_stimulus.wav",0.62586444348222,-0.00407695246150105,0.0943854764099154,0.034478789294284,1.68728290991581
"w040_birmingham_stimulus.wav",2.80689932575019,1.6389033597806,0.611937172865551,1.09080940993386,0.190048139901153
"w042_gouyave_stimulus.wav",2.78934085152854,1.33893269557235,0.229900570458852,0.207790499834279,-0.560831881683087
"w045_sthelier_stimulus.wav",-1.01738923160296,-1.2100805842688,0.0903903784207698,-0.0693105741995665,-0.406026114678071
"w046_gitarama_stimulus.wav",2.53725735489232,0.91503871770753,-0.0923630207327992,0.588407477086826,-0.683055022177734
"w047_paris_stimulus.wav",1.54898225922759,0.333550496522045,-0.026182719022232,-0.61716785820288,-1.2970541966094
"w048_lome_stimulus.wav",-0.331903080147466,0.683144400831218,0.132067913088243,-0.139290600057964,0.836137070778121
"w049_manama_stimulus.wav",-1.24991400098877,-0.52965680102638,-0.284402628181033,0.355275529618608,-0.887975298593527
"w050_libreville_stimulus.wav",1.54712203037538,0.15138298246843,0.473763306975711,-1.08863206691084,-1.67354916601544
"w051_barcelona_stimulus.wav",0.143595553168771,0.599049313485043,-0.287761203977093,0.635695485341881,0.390247925098989
"w054_kingston_stimulus.wav",-4.69485969474852,-1.13665304288135,0.135863011153528,0.0902888285745909,1.30414745354008
"w055_grozny_stimulus.wav",1.95698025453955,0.487346024977778,-0.488369314751243,0.480160158911455,-0.187056992036772
"w056_damascus_stimulus.wav",-2.18290187129255,-0.272644173102814,-0.808524801318289,0.544926024173985,0.0722195341432055
"w057_sansalvador_stimulus.wav",1.54970795934212,0.327600252645077,0.0205355708241244,0.730905845242926,0.193914569704701
"w060_cairo_stimulus.wav",1.09683121468746,1.18184284604526,0.48891031815533,0.426136875533593,-0.1562689877756
"w062_monaco_stimulus.wav",-0.434861821174431,0.115475049430909,-1.36903035463326,0.79331554789418,0.216215453932137
"w063_sanjuan_stimulus.wav",-1.68249148823189,-0.35131333437993,-0.975854286886408,1.43771790746318,1.1951665500016
"w065_amuri_stimulus.wav",1.29457360323765,0.599337996135168,1.22454899225809,-0.759252525103213,-1.81205504561368
"w066_saintlaurentdumaroni_stimulus.wav",0.318990399255648,-0.142536079533254,0.141028476570333,0.463704599557416,-0.230573561654976
"w068_minsk_stimulus.wav",-1.5485529431015,-0.776975891608509,-0.354255615632407,-0.394758571989263,-0.905243288992767
"w072_maribor_stimulus.wav",0.429242567616005,0.132963385369514,-0.319623717457044,0.284511367921475,0.564041248196024
"w073_bissau_stimulus.wav",0.33129174187327,0.808557411469445,-0.693712310579013,0.429785384820891,-0.479691885510581
"w074_lapaz_stimulus.wav",-1.78493428707395,-0.779641925065426,0.200369946775421,-0.896083968144791,-0.468233906548249
"w075_portofspain_stimulus.wav",1.49273764467853,0.486923196863577,-0.296227359506038,0.591284681326975,-0.141193113655366
"w078_roadtown_stimulus.wav",-0.764354944777552,-0.544295467277082,-0.602323896191843,0.182518627648217,-0.100033123275121
"w081_brasilia_stimulus.wav",1.67332370171018,0.833535955731788,-0.200630538732602,0.882120493132837,-1.07850325027654
