"sample_heard","dim1","dim2","dim3","dim4"
"m041_bucharest_stimulus.wav",-2.56696148250527,-0.66377263425862,1.06309376005404,0.309124939034109
"m061_alrayyan_stimulus.wav",-2.79903688482591,-1.78009247175328,1.01564258322396,-0.349863084789125
"m071_jamestown_stimulus.wav",-2.30901237367863,0.00869491168498411,1.29473485792896,1.39211604632439
"m088_cayenne_stimulus.wav",2.41118760795849,-0.957085223342501,-1.28075569504674,-1.85154607869218
"m096_helsinki_stimulus.wav",3.53578576761242,1.09529100704763,-1.06542688467735,-0.0475173876254987
"m097_basseterre_stimulus.wav",-2.41443438182474,-0.154256730014299,1.03105067446423,1.41509700844222
"m171_barentsburg_stimulus.wav",1.5280130619239,0.195197319566234,-1.60634046638355,-1.35084580400498
"m263_andorralavella_stimulus.wav",0.902288440961611,1.33384084961254,-1.11626959436004,-0.365159462697376
"m271_portmoresby_stimulus.wav",1.6358249245131,1.20035143124544,0.989926685998854,2.25916783594295
"m280_skopje_stimulus.wav",0.0763453198650208,-0.278168459788129,-0.325655921202368,-1.4105740119345
