"sample_heard","dim1","dim2","dim3","dim4"
"w008_dakar_stimulus.wav",-0.75442732136979,1.74465150577793,-0.851409084265707,0.0824947305223475
"w040_birmingham_stimulus.wav",-1.87873702361971,1.12466175908751,-1.42378388072179,-0.824967884971236
"w094_hakupu_stimulus.wav",1.38206899578993,-0.80802405820831,2.26774276065134,0.762715651616705
"w125_hamhung_stimulus.wav",-0.706356760305844,1.9881065338688,-1.03107405910346,-0.154309882157548
"w168_philipsburg_stimulus.wav",0.0300876560935767,-2.06599256259114,0.169686665963381,-0.858913189549102
"w174_reykjavik_stimulus.wav",1.63580150512385,-0.847908606905154,1.8144722789672,0.354272368419587
"w240_casablanca_stimulus.wav",-0.664839053898504,1.99488311199772,-0.331112012077266,0.731878075462696
"w257_nasinu_stimulus.wav",-0.326185346644599,-0.756026570058067,-1.40040047828877,-0.504404172572382
"w262_huambo_stimulus.wav",0.471750642230699,-1.64741801646763,0.711079526128199,0.137179240383227
"w287_dzaoudzi_stimulus.wav",0.81083670660039,-0.726933096501661,0.0747982827468714,0.274055062845705
