"IDListener","ageListener","genderListener","filename","fileDurationMs","orderPlayed","IDSpeaker","ageSpeaker","genderSpeaker","stimulusContent","stimulusDistortion","reactionTimeLikabilityMs","durationRatingLikabilityMs","Rating_Likability"
1,28,"f","013_34_f_T_N.wav",4313,53,13,34,"f","Telefontarif","Narrowband",4743,72,40
1,28,"f","002_28_f_T_N.wav",4212,54,2,28,"f","Telefontarif","Narrowband",4278,120,43
1,28,"f","017_29_f_T_N.wav",4353,55,17,29,"f","Telefontarif","Narrowband",4592,101,70
1,28,"f","003_33_f_T_W.wav",4265,56,3,33,"f","Telefontarif","Wideband",4118,128,33
1,28,"f","014_34_f_T_N.wav",4743,57,14,34,"f","Telefontarif","Narrowband",4798,112,43
1,28,"f","008_28_f_T_N.wav",4831,58,8,28,"f","Telefontarif","Narrowband",6339,92,60
2,28,"f","019_30_m_T_W.wav",4372,1,19,30,"m","Telefontarif","Wideband",6753,109,65
2,28,"f","025_25_m_T_W.wav",4274,2,25,25,"m","Telefontarif","Wideband",6076,87,39
2,28,"f","028_28_m_T_N.wav",3909,3,28,28,"m","Telefontarif","Narrowband",5613,119,24
2,28,"f","023_30_m_T_N.wav",4896,4,23,30,"m","Telefontarif","Narrowband",6384,101,58
2,28,"f","004_29_m_T_W.wav",4384,5,4,29,"m","Telefontarif","Wideband",5852,102,78
2,28,"f","021_30_m_T_N.wav",4312,6,21,30,"m","Telefontarif","Narrowband",4888,3451,26
2,28,"f","020_31_m_T_W.wav",4059,7,20,31,"m","Telefontarif","Wideband",6226,102,18
2,28,"f","030_28_m_T_N.wav",4333,8,30,28,"m","Telefontarif","Narrowband",7335,137,20
2,28,"f","028_28_m_T_W.wav",3918,9,28,28,"m","Telefontarif","Wideband",7013,78,28
2,28,"f","024_21_m_T_W.wav",4658,10,24,21,"m","Telefontarif","Wideband",7517,97,64
2,28,"f","022_24_m_T_W.wav",3968,11,22,24,"m","Telefontarif","Wideband",5552,95,86
2,28,"f","023_30_m_T_W.wav",4901,12,23,30,"m","Telefontarif","Wideband",8222,95,48
2,28,"f","021_30_m_T_W.wav",4313,13,21,30,"m","Telefontarif","Wideband",6967,114,49
2,28,"f","005_26_m_T_W.wav",4273,14,5,26,"m","Telefontarif","Wideband",7182,130,72
2,28,"f","024_21_m_T_N.wav",4655,15,24,21,"m","Telefontarif","Narrowband",6054,111,23
2,28,"f","006_22_m_T_W.wav",4373,16,6,22,"m","Telefontarif","Wideband",7016,-2073,16
2,28,"f","007_24_m_T_N.wav",3887,17,7,24,"m","Telefontarif","Narrowband",5538,60,35
2,28,"f","004_29_m_T_N.wav",4365,18,4,29,"m","Telefontarif","Narrowband",5741,122,29
